X,Y,OBJECTID,Id,DateStarted,EstimatedCompletionDate,WorkType,Description,Suburb,Road,TrafficImpact,Region,EntryDate
115.824857960805,-32.2986226372839,216699,59435,04/01/2021 07:00:00,15/03/2021 07:00:00,Upgrades,"Baldivis Rd between Zig Zag Rd and Kulija Rd, Baldivis  - Upgrades 24 hour works",Baldivis,LOCAL ROAD,Speed limit reduced to 40 km/h,Metro,09/02/2021 13:01:20
118.109530005095,-33.5555284325854,216720,59489,15/02/2021 06:00:00,01/04/2021 18:00:00,Maintenance,Katanning Nyabing Rd just east of Browne Rd  to Nyabing  - Shoulder works - 6am to 6pm daily,to Nyabing,Katanning Nyabing Rd,Speed reduction in place with one lane closed,Great Southern,11/02/2021 15:38:40
117.800745126948,-33.6698362382911,216721,59488,15/02/2021 06:00:00,01/04/2021 18:00:00,Maintenance,Katanning Nyabing Rd from Lake Coyrecup Rd to just west of Coyrecup Rd  - Shoulder works - 6am to 6pm daily,to just west of Coyrecup Rd,Katanning Nyabing Rd,Speed reduction in place with one lane closed,Great Southern,11/02/2021 15:36:09
120.236739300722,-33.5999353348472,216723,59492,15/03/2021 06:00:00,30/05/2021 18:00:00,Maintenance,South Coast Hwy from Maydon Rd to West Point Rd  - Pavement repairs - 6am to 6pm daily,,South Coast Hwy,Speed reduction in place with one lane closed - works will continue over the public holidays in April,Great Southern,04/03/2021 08:52:53
119.195949343147,-33.8524861327287,216724,59491,15/03/2021 06:00:00,30/05/2021 18:00:00,Maintenance,South Coast Hwy from Brook Rd to Jacup Rd South  - Pavement repairs - 6am to 6pm daily,,South Coast Hwy,Speed reduction in place with one lane closed - works will continue over the public holidays in April,Great Southern,04/03/2021 08:52:20
115.863582226154,-32.087187708919,216746,56280,11/03/2021 19:00:00,15/03/2021 05:00:00,Upgrades,Karel Av between Roe Hwy and Pilatus St  - Upgrades 24 hour works,,LOCAL ROAD,Closed,Metro,16/02/2021 08:37:16
115.864042310004,-32.0902295160613,216747,56281,11/03/2021 19:00:00,15/03/2021 05:00:00,Upgrades,Berrigan Dr between Karel Av and Spartan St  - Upgrades 24 hour works,,LOCAL ROAD,Closed,Metro,16/02/2021 08:40:32
115.984290906226,-33.7866002234837,216755,59577,24/02/2021 06:00:00,27/04/2021 18:00:00,Utility works,South Western Hwy from Jayes Rd to Southampton Rd Balingup - Utility works,Balingup,South Western Hwy,"Reduced to single lane
Speed reduction",South West,18/02/2021 13:09:56
118.870099418381,-25.9227932033067,216762,59595,15/02/2021 06:00:00,10/05/2021 18:00:00,Upgrades,Shoulder Works - Great Northern Hwy - From ~70km North of Meekatharra to ~100km South of Kumarina Roadhouse  ,,Great Northern Hwy,"Temporary Traffic Management in Place  -Speed Reduction to 60km/h and Stop/Slow of Traffic, 15th Feb - 10th May, 6am-6pm",Mid West Gascoyne,18/02/2021 14:01:07
117.191869051276,-33.9484604775853,216767,56471,23/02/2021 07:00:00,12/03/2021 17:00:00,Maintenance,"Albany Hwy Balgarup River Bridge, Lumeah  - Bridge Maintenance works - 7am to 5pm ",Lumeah,Albany Hwy,Speed reduction and single lane closure during the day. Both lanes will be open to traffic under speed reduction after 5pm. Max width 3.5m during the day.,Great Southern,18/02/2021 16:36:15
118.303066243416,-34.7564112111761,216769,56952,04/01/2021 06:00:00,12/03/2021 18:00:00,Upgrades,"South Coast Hwy - Bluff Creek Rd to Kojaneerup West Rd, Green Range  - Passing lanes and Road Reconstruction",Green Range,South Coast Hwy,South Coast Hwy CLOSED between Cheynes and Kojaneerup West Road with detours in place (either via Borden or Kojaneerup West Rd to Chillinup Rd to Chester Pass Rd) - local traffic permitted only,Great Southern,19/02/2021 14:16:36
121.168144517914,-28.4155957429354,216771,59210,09/03/2021 07:00:00,18/03/2021 17:00:00,Maintenance,"Goldfields Hwy, 60km north of Leonora to 10km south of Leinster  - Shoulder Reconditioning",Leinster,Goldfields Hwy,Lane Closures. STOP/SLOW Traffic Control. Speed Reductions. Exercise Caution.,Goldfields Esperance,04/03/2021 10:46:27
127.867968325814,-31.8739502013029,216772,58790,06/01/2021 06:00:00,19/03/2021 17:00:00,Resurfacing,"Eyre Hwy, from Eucla towards Caiguna - Reseal Works",Eucla,Eyre Hwy,Lane Closures. STOP/SLOW Traffic Control. Speed Reductions. Exercise Caution.,Goldfields Esperance,19/02/2021 16:11:52
121.344121775449,-28.8858038530886,216773,59640,14/03/2021 07:00:00,14/03/2021 17:00:00,Resurfacing,Leonora Laverton Rd - Pavement Repairs,,Leonora Laverton Rd,Lane Closures. STOP/SLOW Traffic Control. Speed Reductions. Exercise Caution.,Goldfields Esperance,04/03/2021 10:36:47
121.279015602682,-29.3947766931343,216774,59639,09/03/2021 07:00:00,13/03/2021 17:00:00,Resurfacing,Goldfields Hwy between Menzies and Wiluna - Pavement Repairs,Wiluna,Goldfields Hwy,Lane Closures. STOP/SLOW Traffic Control. Speed Reductions. Exercise Caution.,Goldfields Esperance,04/03/2021 10:49:22
